end_price,image_urls,img_url,model,model_url,start_price
39999,https://s.ek.ua/jpg/1885687.jpg,https://s.ek.ua/jpg/1885687.jpg,Asus TUF Gaming F15 FX506LH,https://ek.ua/ua/ua/ASUS-TUF-GAMING-F15-FX506LH.htm,25326
64336,https://s.ek.ua/jpg/2070932.jpg,https://s.ek.ua/jpg/2070932.jpg,HP Pavilion Gaming 15-ec2000,https://ek.ua/ua/ua/HP-PAVILION-GAMING-15-EC2000.htm,27999
84876,https://s.ek.ua/jpg/2090053.jpg,https://s.ek.ua/jpg/2090053.jpg,HP Victus 16-e0000,https://ek.ua/ua/ua/HP-VICTUS-16-E0000.htm,29999
22499,https://s.ek.ua/jpg/2068639.jpg,https://s.ek.ua/jpg/2068639.jpg,Lenovo V15 G2 ALC,https://ek.ua/ua/ua/LENOVO-V15-G2-ALC.htm,15999
89010,https://s.ek.ua/jpg/2017560.jpg,https://s.ek.ua/jpg/2017560.jpg,Acer Nitro 5 AN515-45,https://ek.ua/ua/ua/ACER-NITRO-5-AN515-45.htm,33567
68196,https://s.ek.ua/jpg/2034980.jpg,https://s.ek.ua/jpg/2034980.jpg,MSI Katana GF66 11UE,https://ek.ua/ua/ua/MSI-KATANA-GF66-11UE.htm,41769
24534,https://s.ek.ua/jpg/2046417.jpg,https://s.ek.ua/jpg/2046417.jpg,Lenovo V14 G2 ALC,https://ek.ua/ua/ua/LENOVO-V14-G2-ALC.htm,17000
70853,https://s.ek.ua/jpg/2015154.jpg,https://s.ek.ua/jpg/2015154.jpg,Lenovo Legion 5 17ACH6H,https://ek.ua/ua/ua/LENOVO-LEGION-5-17ACH6H.htm,48441
58102,https://s.ek.ua/jpg/2058429.jpg,https://s.ek.ua/jpg/2058429.jpg,Lenovo Legion 5 15ACH6,https://ek.ua/ua/ua/LENOVO-LEGION-5-15ACH6.htm,33745
81118,https://s.ek.ua/jpg/2035230.jpg,https://s.ek.ua/jpg/2035230.jpg,MSI Katana GF66 11UG,https://ek.ua/ua/ua/MSI-KATANA-GF66-11UG.htm,52029
63999,https://s.ek.ua/jpg/2015161.jpg,https://s.ek.ua/jpg/2015161.jpg,Lenovo Legion 7 16ACHg6,https://ek.ua/ua/ua/LENOVO-LEGION-7-16ACHG6.htm,55999
38999,https://s.ek.ua/jpg/1819825.jpg,https://s.ek.ua/jpg/1819825.jpg,Lenovo IdeaPad Gaming 3 15IMH05,https://ek.ua/ua/ua/LENOVO-IDEAPAD-GAMING-3-15IMH05.htm,24999
34733,https://s.ek.ua/jpg/1971045.jpg,https://s.ek.ua/jpg/1971045.jpg,Asus ZenBook 14 UM425QA,https://ek.ua/ua/ua/ASUS-ZENBOOK-14-UM425QA.htm,33999
47899,https://s.ek.ua/jpg/2058390.jpg,https://s.ek.ua/jpg/2058390.jpg,Lenovo Legion 5 Pro 16ACH6,https://ek.ua/ua/ua/LENOVO-LEGION-5-PRO-16ACH6.htm,38922
57800,https://s.ek.ua/jpg/1958416.jpg,https://s.ek.ua/jpg/1958416.jpg,Asus TUF Dash F15 FX516PM,https://ek.ua/ua/ua/ASUS-TUF-DASH-F15-FX516PM.htm,41440
42999,https://s.ek.ua/jpg/1619833.jpg,https://s.ek.ua/jpg/1619833.jpg,Acer Nitro 5 AN515-54,https://ek.ua/ua/ua/ACER-NITRO-5-AN515-54.htm,31999
53188,https://s.ek.ua/jpg/2034982.jpg,https://s.ek.ua/jpg/2034982.jpg,MSI Katana GF66 11UC,https://ek.ua/ua/ua/MSI-KATANA-GF66-11UC.htm,33057
39999,https://s.ek.ua/jpg/1996208.jpg,https://s.ek.ua/jpg/1996208.jpg,Xiaomi RedmiBook Pro 15,https://ek.ua/ua/ua/XIAOMI-REDMIBOOK-PRO-15.htm,29999
33667,https://s.ek.ua/jpg/1965092.jpg,https://s.ek.ua/jpg/1965092.jpg,HP 255 G8,https://ek.ua/ua/ua/HP-255-G8.htm,12853
25520,https://s.ek.ua/jpg/2026260.jpg,https://s.ek.ua/jpg/2026260.jpg,Acer TravelMate P2 TMP215-41,https://ek.ua/ua/ua/ACER-TRAVELMATE-P2-TMP215-41.htm,18499
56320,https://s.ek.ua/jpg/2038391.jpg,https://s.ek.ua/jpg/2038391.jpg,HP 17-cp0000,https://ek.ua/ua/ua/HP-17-CP0000.htm,16184
44404,https://s.ek.ua/jpg/2086559.jpg,https://s.ek.ua/jpg/2086559.jpg,Lenovo ThinkBook 15 G3 ACL,https://ek.ua/ua/ua/LENOVO-THINKBOOK-15-G3-ACL.htm,23999
29999,https://s.ek.ua/jpg/1930749.jpg,https://s.ek.ua/jpg/1930749.jpg,HP 15s-fq2000,https://ek.ua/ua/ua/HP-15S-FQ2000.htm,16999
82107,https://s.ek.ua/jpg/2070073.jpg,https://s.ek.ua/jpg/2070073.jpg,Acer Nitro 5 AN515-57,https://ek.ua/ua/ua/ACER-NITRO-5-AN515-57.htm,30418
39999,https://s.ek.ua/jpg/2094422.jpg,https://s.ek.ua/jpg/2094422.jpg,Asus TUF Gaming F17 FX706HCB,https://ek.ua/ua/ua/ASUS-TUF-GAMING-F17-FX706HCB.htm,36716
86166,https://s.ek.ua/jpg/2072613.jpg,https://s.ek.ua/jpg/2072613.jpg,Lenovo Legion S7 15ACH6,https://ek.ua/ua/ua/LENOVO-LEGION-S7-15ACH6.htm,54138
57395,https://s.ek.ua/jpg/2034983.jpg,https://s.ek.ua/jpg/2034983.jpg,MSI Katana GF76 11UE,https://ek.ua/ua/ua/MSI-KATANA-GF76-11UE.htm,44268
53999,https://s.ek.ua/jpg/2063065.jpg,https://s.ek.ua/jpg/2063065.jpg,Asus TUF Gaming F15 FX506HM,https://ek.ua/ua/ua/ASUS-TUF-GAMING-F15-FX506HM.htm,42999
96316,https://s.ek.ua/jpg/2090067.jpg,https://s.ek.ua/jpg/2090067.jpg,HP Victus 16-d0000,https://ek.ua/ua/ua/HP-VICTUS-16-D0000.htm,38318
94949,https://s.ek.ua/jpg/2058397.jpg,https://s.ek.ua/jpg/2058397.jpg,Lenovo Legion 5 Pro 16ITH6H,https://ek.ua/ua/ua/LENOVO-LEGION-5-PRO-16ITH6H.htm,58999
